,NA,PN,ND,NG,NNum,VO,NRc,VS,glot
AA.EAST_CHADIC.KERA,0,0,0,0,0,0,0,1,Afro-Asiatic
TNG.ENGAN.KEWA_EAST,1,1,1,1,0,1,-,1,Nuclear_Trans_New_Guinea
NC.GUR.KOROMFE,0,-,0,1,0,0,0,1,Atlantic-Congo
IE.SLAVIC.RUSSIAN,1,0,1,0,1,0,0,1,Indo-European
Mab.MABAN.RUNGA,0,1,0,1,-,1,0,1,Maban
TuK.TURAMA_KIKORIAN.RUMU,0,1,0,1,0,1,1,1,Turama-Kikori
ST.BODIC.KYIRONG,0,1,1,1,0,1,1,1,Sino-Tibetan
An.RUKAI.MAGA_RUKAI,-,0,1,0,1,0,-,0,Austronesian
AuA.ASLIAN.SEMELAI,0,0,0,0,1,0,0,-,Austroasiatic
May.MAYAN.SIPAKAPENSE,1,0,1,0,1,0,0,0,Mayan
ST.BODO_GARO.GARO,0,1,1,1,0,1,1,1,Sino-Tibetan
An.OCEANIC.TOBATI,0,1,0,1,0,1,0,1,Austronesian
Alt.TUNGUSIC.EVENKI_POLIGUS_LITERARY,1,1,1,1,1,1,1,1,Tungusic
An.BILIC.TAGABILI,0,0,0,0,1,0,0,0,Austronesian
NC.KWA.EWE_ADANGBE,0,1,0,1,0,0,0,1,Atlantic-Congo
NC.BANTOID.A72a_EWONDO,0,0,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.FIJIAN,0,0,0,0,1,0,0,0,Austronesian
Ura.FINNIC.FINNISH,1,1,1,1,1,0,0,1,Uralic
NC.KWA.FONGBE,0,-,0,0,0,0,0,1,Atlantic-Congo
An.OCEANIC.TAWALA,0,-,1,1,0,1,0,1,Austronesian
IE.ROMANCE.FRENCH,0,0,1,0,1,0,0,1,Indo-European
NC.NORTHERN_ATLANTIC.FULFULDE_ADAMAWA,0,0,0,0,0,0,0,1,Atlantic-Congo
TNG.MADANG.TAUYA,0,1,1,1,0,1,-,1,Nuclear_Trans_New_Guinea
Fur.FUR.FUR,0,1,1,1,0,1,0,1,Furan
An.OCEANIC.ANIWA,0,0,0,0,-,0,0,1,Austronesian
NC.PLATOID.FYEM,0,0,0,0,0,0,0,1,Atlantic-Congo
Arw.NORTHERN_ARAWAKAN.TARIANA,-,1,1,1,1,1,0,1,Arawakan
IE.CELTIC.GAELIC_SCOTTISH,0,0,0,0,1,0,0,0,Indo-European
ST.BODIC.TAMANG,1,1,1,1,0,1,1,1,Sino-Tibetan
Sah.WESTERN_SAHARAN.DAZAGA,0,1,0,0,0,1,0,1,Saharan
An.OCEANIC.SIE,0,0,0,0,0,0,0,1,Austronesian
NC.EDOID.ENGENNI,0,0,0,0,0,0,0,1,Atlantic-Congo
ST.BODIC.DARMIYA,1,1,1,1,1,1,-,1,Sino-Tibetan
IE.GERMANIC.DANISH,1,0,1,1,1,0,0,1,Indo-European
NC.KAINJI.DUKA,0,0,1,0,0,0,0,1,Atlantic-Congo
ESu.NILOTIC.TESO,0,0,0,0,0,0,0,0,Nilotic
